rainfall_24h_mm,rainfall_intensity_mmh,soil_moisture_pct,slope_degrees,borehole_displacement_mm,historical_events_count,population_density_sqkm,catchment_area_sqkm,road_closure_hours,severance_probability_pct,isolated_population,infrastructure_damage_index,time_to_failure_hours,debris_volume_m3
162.5,4.0,49.6,30.9,19.11,18,416,19.9,69.8,84.7,1155,96.6,4.0,22626
175.8,19.4,60.7,33.1,21.37,6,1791,12.5,72.0,100.0,3964,100.0,1.0,28000
154.8,34.5,78.7,43.4,10.91,18,1260,27.0,72.0,100.0,6154,100.0,1.0,28000
87.2,6.1,46.9,26.0,2.58,12,726,13.4,21.4,41.0,892,48.6,14.4,6951
181.8,9.4,56.3,61.6,15.82,11,289,9.3,72.0,100.0,390,100.0,1.0,28000
92.7,28.6,57.3,58.6,7.78,8,1136,24.5,72.0,94.7,4689,100.0,1.6,25148
187.5,36.6,41.8,28.4,16.9,13,1623,20.1,72.0,100.0,5893,100.0,1.0,28000
215.2,32.3,81.2,35.6,0.72,1,1138,31.2,72.0,100.0,6233,100.0,1.0,28000
67.8,17.6,42.3,60.1,25.76,11,2061,3.1,72.0,100.0,1282,100.0,1.0,27249
228.6,6.3,63.1,24.8,21.56,5,2006,30.4,72.0,100.0,11019,100.0,1.0,28000
173.3,30.8,57.5,48.9,3.61,15,555,9.8,72.0,99.7,997,100.0,1.0,27631
37.7,5.6,34.0,35.2,8.16,16,937,18.4,25.2,47.3,1498,44.7,13.9,7778
45.3,28.7,54.7,38.4,1.99,4,308,14.4,36.8,58.1,363,60.5,10.4,11292
84.9,12.7,91.1,39.7,15.63,2,120,31.1,71.2,92.3,486,92.2,3.6,22500
37.6,17.8,95.1,32.6,13.01,14,2053,7.1,58.4,70.4,1878,77.5,8.5,14116
150.6,22.6,86.6,28.3,2.7,6,340,20.1,64.1,85.8,903,92.5,4.5,19991
158.2,19.3,69.4,42.9,6.12,11,1037,10.3,72.0,90.0,1713,100.0,4.2,22599
158.5,25.0,38.4,43.5,4.14,12,341,28.4,68.6,87.2,1653,96.0,4.5,23259
165.6,3.3,84.3,34.0,26.32,5,1143,5.9,72.0,100.0,1122,100.0,1.0,28000
161.4,13.3,63.3,58.2,3.04,14,1193,3.8,72.0,95.9,974,100.0,1.9,23834
145.6,7.4,92.5,49.6,0.24,12,666,15.2,66.8,80.1,1632,95.4,3.5,19951
171.6,29.0,54.6,44.4,27.28,5,1029,28.0,72.0,100.0,5338,100.0,1.0,28000
225.1,34.3,87.3,54.4,3.17,4,1626,28.2,72.0,100.0,8380,100.0,1.0,28000
73.9,3.9,44.4,35.1,27.09,9,1498,21.4,65.2,78.9,4567,89.2,4.9,19111
63.4,40.5,49.0,26.3,20.53,11,1847,20.4,69.7,88.6,6039,91.3,4.8,21405
224.0,24.0,78.0,51.7,10.52,3,1412,20.9,72.0,100.0,5471,100.0,1.0,28000
174.9,24.6,44.3,48.6,3.02,6,1292,14.5,72.0,100.0,3256,100.0,2.6,24433
120.0,29.3,64.7,53.7,20.74,3,1222,17.7,72.0,100.0,4020,100.0,1.0,28000
67.8,4.0,47.7,41.0,2.5,14,856,23.7,25.5,47.6,1597,53.7,14.2,9808
215.4,33.4,46.0,54.2,13.28,18,1080,29.6,72.0,100.0,5740,100.0,1.0,28000
187.4,20.3,84.2,57.7,25.44,15,711,24.4,72.0,100.0,3021,100.0,1.0,28000
159.8,13.7,37.0,33.4,1.35,18,390,6.6,54.1,66.6,391,69.6,8.1,13454
114.4,11.1,58.9,58.2,19.63,13,2013,2.7,72.0,100.0,1119,100.0,1.0,27275
142.4,26.5,46.1,30.8,1.3,11,1716,23.9,59.0,77.9,5943,78.5,8.7,16895
167.5,6.3,59.4,56.7,1.11,11,926,15.9,72.0,88.0,2243,99.7,3.7,22103
126.1,32.2,35.3,60.1,0.37,2,187,30.5,71.4,88.7,771,94.0,3.9,24602
71.9,30.3,81.1,28.7,21.07,4,730,31.0,72.0,88.9,3546,100.0,4.5,25045
178.7,6.0,76.2,47.1,3.11,4,228,12.7,72.0,91.2,477,95.9,4.5,22574
47.7,40.5,72.7,55.1,12.48,17,1166,20.7,72.0,100.0,4330,100.0,1.7,26888
77.8,39.5,49.9,40.0,16.17,13,1437,3.3,72.0,98.7,727,100.0,2.4,22493
175.8,13.8,32.6,59.9,2.91,16,1044,22.9,72.0,98.4,4351,98.3,1.6,25602
90.8,25.7,62.3,43.2,21.01,11,1501,23.2,72.0,97.7,5972,100.0,1.0,27123
188.9,10.2,45.8,41.4,27.36,17,1219,31.4,72.0,100.0,6834,100.0,1.0,28000
34.8,5.1,50.7,59.8,21.2,4,110,19.4,67.1,85.2,201,86.1,6.2,20508
201.8,18.6,36.7,47.2,0.68,10,408,31.8,72.0,90.4,2153,100.0,2.0,25794
121.9,20.3,87.1,61.6,2.52,4,911,21.0,72.0,97.1,3239,100.0,1.0,26539
173.2,21.3,34.1,33.5,3.45,3,1016,29.8,64.2,84.7,4680,90.4,5.6,20222
164.2,38.4,84.9,24.9,1.3,10,1858,6.2,72.0,96.0,2167,99.3,3.0,21882
33.6,19.8,52.6,32.0,3.85,1,1163,19.5,24.4,52.6,2154,51.7,12.3,9513
118.7,34.8,94.0,40.8,9.33,4,718,12.2,72.0,100.0,1754,100.0,1.0,27024
92.6,15.6,94.1,38.2,27.67,18,1952,14.7,72.0,100.0,5267,100.0,1.0,28000
143.1,39.2,60.0,49.9,3.9,8,708,11.7,72.0,98.0,1351,100.0,1.0,27547
164.3,9.0,91.7,33.7,11.93,16,1994,9.7,72.0,97.0,3545,100.0,3.6,24029
84.4,33.8,58.6,59.4,23.07,10,1282,27.2,72.0,100.0,6422,100.0,1.0,28000
189.0,17.7,91.7,56.8,7.07,13,1016,27.8,72.0,100.0,5073,100.0,1.0,28000
195.4,28.4,41.7,60.6,3.86,11,471,28.3,72.0,100.0,2382,100.0,1.0,28000
58.2,21.3,94.0,35.5,18.37,11,1616,30.6,72.0,90.1,8014,94.2,4.5,22864
172.1,14.2,46.6,25.6,21.41,4,1877,7.4,72.0,96.8,2349,100.0,1.4,24585
77.5,19.1,75.6,29.2,2.48,13,1046,17.2,42.9,60.9,2027,63.0,11.1,11957
125.0,14.2,67.0,25.0,27.66,10,1797,22.9,72.0,98.7,7510,100.0,1.0,26450
102.2,14.5,76.8,22.9,11.38,1,260,29.4,56.6,74.6,1187,78.6,7.2,17008
72.1,10.4,48.0,52.2,19.22,5,457,29.2,67.7,88.7,2106,92.8,5.3,21911
88.4,32.2,43.2,27.3,27.22,17,2115,29.4,72.0,100.0,11322,100.0,3.2,26719
97.8,7.5,93.6,27.6,24.15,13,1558,5.2,71.7,89.9,1160,95.2,4.4,20841
106.9,27.9,55.8,49.0,17.54,18,1403,29.5,72.0,100.0,7579,100.0,1.0,28000
55.1,39.9,51.5,41.7,3.56,5,1651,15.9,57.7,75.6,3750,77.1,8.3,15512
114.2,6.9,63.3,38.3,1.4,12,949,15.6,48.7,67.7,1643,67.9,10.2,12554
102.1,18.5,44.1,26.9,13.0,7,147,4.0,57.1,69.2,188,72.5,9.1,13623
151.1,34.7,46.9,53.0,16.89,9,652,31.6,72.0,100.0,3552,100.0,1.0,28000
194.5,26.0,33.0,32.6,1.74,4,320,16.5,69.6,90.9,707,92.8,5.8,20615
193.4,36.8,65.4,40.3,2.17,16,1705,15.1,72.0,100.0,4611,100.0,1.0,28000
52.1,27.3,69.5,50.5,2.43,10,1918,17.4,58.5,73.2,4243,79.9,8.6,16170
211.1,19.8,88.8,38.6,11.47,4,1340,15.1,72.0,100.0,3503,100.0,1.0,28000
45.0,6.8,79.3,54.5,16.63,18,1410,22.3,68.8,83.5,4902,88.8,6.3,20155
86.8,15.2,38.6,42.3,1.98,4,1494,27.4,35.5,57.6,4273,65.7,11.8,13051
201.0,26.9,73.1,23.1,23.31,9,178,7.8,72.0,100.0,185,100.0,1.0,28000
111.2,8.5,72.5,23.2,6.42,14,1918,12.6,47.5,60.4,2738,66.3,8.9,11338
58.8,27.1,75.1,32.9,13.86,15,1756,10.6,59.5,82.7,2742,82.1,6.7,17261
168.4,4.8,57.3,46.0,1.28,7,622,25.0,60.1,77.6,2170,84.2,5.0,19213
74.5,24.8,74.8,36.2,2.99,14,136,16.1,50.5,63.3,221,71.4,9.1,13925
112.1,40.7,43.0,59.9,19.46,12,420,15.4,72.0,100.0,1124,100.0,1.0,28000
72.6,33.4,36.9,47.3,5.83,12,1498,24.0,61.5,81.1,5142,78.2,5.8,18108
188.4,28.6,43.3,52.9,21.25,15,1383,28.0,72.0,100.0,6797,100.0,1.0,28000
37.1,22.8,51.9,40.1,3.34,3,429,20.6,32.0,57.1,930,63.2,12.5,11190
199.1,28.4,52.6,41.0,0.34,4,1466,31.5,72.0,94.1,7637,100.0,3.3,27523
156.1,17.2,90.7,37.5,19.17,2,1430,4.4,72.0,100.0,1046,100.0,1.0,28000
212.8,16.0,69.3,27.7,3.87,13,588,20.1,72.0,99.9,2075,100.0,3.8,24391
203.2,31.8,75.9,43.1,12.14,12,134,13.2,72.0,100.0,497,100.0,1.0,28000
41.6,35.9,38.5,52.8,24.8,2,1439,28.4,72.0,100.0,7217,100.0,1.3,28000
219.1,31.1,34.8,36.6,27.16,10,1898,9.4,72.0,100.0,3325,100.0,1.0,28000
147.6,20.2,81.2,53.1,12.01,6,877,26.1,72.0,100.0,4176,100.0,1.0,28000
206.9,36.2,50.2,52.5,3.63,5,1851,5.2,72.0,100.0,1886,100.0,1.0,28000
105.4,18.1,37.2,31.0,0.49,11,658,6.6,32.8,52.7,490,54.9,12.3,9033
26.1,6.1,48.4,55.4,20.5,17,1793,5.8,60.4,76.8,1256,83.2,7.1,16572
48.8,38.3,70.2,22.7,7.15,5,1253,15.2,49.7,69.3,2342,73.5,7.6,14210
39.6,23.5,64.5,61.5,11.24,16,238,21.3,70.0,95.4,677,97.8,3.5,22533
160.1,33.1,79.1,35.3,2.23,6,1963,31.4,72.0,95.4,10438,100.0,3.9,25677
68.3,33.9,88.7,34.6,1.65,18,1999,10.0,54.5,76.7,2702,80.8,8.6,14982
51.8,17.4,88.9,51.7,11.13,6,2092,22.9,69.3,83.9,7141,86.4,4.7,20882
238.9,10.0,50.8,26.1,1.25,15,1805,7.4,71.3,89.0,2230,99.1,4.3,20671
162.5,33.9,35.7,48.8,14.61,6,187,6.7,72.0,100.0,39,100.0,1.0,28000
107.3,25.1,70.7,49.2,10.73,3,623,18.1,72.0,95.1,1830,98.2,3.2,24736
108.2,24.9,48.8,32.4,27.9,10,2071,8.4,72.0,98.6,2956,100.0,2.5,26670
233.0,41.5,74.7,50.4,8.48,10,705,23.5,72.0,100.0,3099,100.0,1.0,28000
54.9,33.8,33.7,44.2,3.23,18,591,20.6,49.2,61.9,1556,73.0,9.1,14363
202.0,5.9,94.2,47.7,19.2,12,585,28.4,72.0,100.0,2863,100.0,1.0,28000
36.9,7.8,41.8,28.6,2.87,12,2185,28.9,15.5,39.9,4589,38.3,14.9,7089
139.7,22.6,42.8,59.7,2.67,11,228,26.8,72.0,88.4,1028,100.0,3.4,25032
114.6,27.9,63.9,47.1,3.83,16,1063,26.2,67.8,89.2,4300,87.7,4.4,21910
68.9,26.7,52.0,50.7,24.17,13,595,24.9,72.0,100.0,2563,100.0,1.0,28000
35.9,39.9,87.3,38.7,25.31,11,1340,8.1,72.0,100.0,1940,100.0,1.0,27988
109.5,20.8,47.4,45.3,1.2,16,1230,18.3,54.3,76.0,3232,78.3,8.7,15381
111.1,25.2,44.5,44.1,2.07,18,1205,26.8,58.1,76.3,4286,75.2,6.9,17928
144.9,17.3,41.2,46.1,1.61,2,621,23.6,61.2,82.4,2033,87.3,5.3,18862
93.5,18.3,71.5,55.7,14.45,17,2066,23.4,72.0,96.8,8370,100.0,3.3,26625
196.3,31.3,76.0,23.1,27.09,8,270,19.7,72.0,100.0,1005,100.0,1.0,28000
31.8,40.0,39.0,22.8,0.69,7,1740,17.3,26.2,50.7,2886,54.5,13.6,8858
145.6,41.9,62.6,37.1,13.14,18,1462,18.6,72.0,100.0,4967,100.0,1.0,28000
230.8,13.9,51.1,59.7,21.71,7,2062,11.9,72.0,100.0,4534,100.0,1.0,28000
106.6,41.2,84.4,60.2,8.49,10,383,12.7,72.0,100.0,867,100.0,1.0,28000
174.7,8.4,71.4,45.5,2.71,17,984,21.3,70.9,84.1,3259,90.8,4.8,21914
143.3,39.2,58.0,59.4,13.63,7,1236,12.0,72.0,100.0,2505,100.0,1.0,28000
226.4,38.6,43.2,57.3,3.69,13,2089,8.0,72.0,100.0,2923,100.0,1.0,28000
224.6,16.1,61.1,47.7,24.95,5,2125,16.3,72.0,100.0,6099,100.0,1.0,28000
183.4,33.8,68.3,52.3,3.44,13,1811,17.7,72.0,100.0,5643,100.0,1.0,28000
81.1,12.2,80.2,60.2,2.92,1,1131,21.8,61.3,84.1,3579,84.7,5.4,19407
217.5,30.4,51.9,26.7,8.61,8,957,30.7,72.0,100.0,5483,100.0,1.0,28000
187.8,34.3,84.8,52.5,16.88,3,1889,18.1,72.0,100.0,5999,100.0,1.0,28000
140.4,9.4,86.7,39.7,20.22,16,432,29.0,72.0,100.0,2107,100.0,1.0,28000
169.6,15.0,33.4,32.2,0.95,3,245,15.0,54.6,73.8,312,79.5,9.5,14917
86.7,10.0,40.7,47.7,27.0,12,1626,15.7,72.0,100.0,4427,100.0,3.7,23894
210.0,7.6,95.5,37.7,3.92,1,153,31.4,72.0,100.0,834,100.0,1.0,28000
58.4,10.4,88.0,52.6,2.67,1,1045,8.6,50.9,65.9,1105,76.8,6.9,14124
111.5,12.1,45.9,56.5,2.07,10,1019,26.6,57.9,79.3,3908,82.7,6.4,17917
55.8,28.7,46.1,34.0,3.8,6,1809,18.9,33.4,54.2,3392,61.9,10.8,11924
112.8,14.7,43.8,43.5,0.98,5,1956,29.5,52.4,66.7,6950,66.2,8.5,14717
164.0,39.0,86.2,25.7,5.74,9,1604,22.4,72.0,100.0,6342,100.0,2.0,27387
128.1,36.9,53.3,60.3,3.75,4,2021,29.5,72.0,100.0,10690,100.0,1.0,28000
125.2,28.3,51.7,36.4,13.32,16,1371,29.5,72.0,91.0,6649,95.2,2.3,24320
226.0,25.6,58.7,28.1,1.58,8,2105,18.7,72.0,100.0,7190,100.0,2.4,26456
124.1,31.6,54.5,27.6,5.56,18,300,18.0,57.9,82.2,926,78.2,5.0,17348
